frameno,left,top,right,bottom
1,563.69,451.26,571.4,461.26
2,563.55,452.51,571.26,462.51
3,563.41,453.76,571.12,463.76
4,563.26,455.01,570.98,465.01
5,563.12,456.26,570.84,466.26
6,562.98,457.51,570.7,467.51
7,562.84,458.76,570.55,468.76
8,562.7,460.01,570.41,470.0
9,562.56,461.26,570.27,471.25
10,562.42,462.51,570.13,472.5
11,562.28,463.76,569.99,473.75
12,562.21,465.18,569.92,475.18
13,562.14,466.6,569.86,476.6
14,562.08,468.03,569.79,478.02
15,562.01,469.45,569.73,479.45
16,561.95,470.87,569.66,480.87
17,561.88,472.3,569.6,482.29
18,561.82,473.72,569.53,483.71
19,561.75,475.14,569.47,485.14
20,561.69,476.57,569.4,486.56
21,561.62,477.99,569.34,487.98
22,561.93,479.47,569.64,489.46
23,562.23,480.94,569.95,490.94
24,562.54,482.42,570.25,492.42
25,562.84,483.9,570.55,493.89
26,563.14,485.38,570.86,495.37
27,563.45,486.85,571.16,496.85
28,563.75,488.33,571.47,498.33
29,564.06,489.81,571.77,499.8
30,564.36,491.29,572.07,501.28
31,564.67,492.76,572.38,502.76
32,565.1,494.21,572.81,504.2
33,565.53,495.65,573.25,505.65
34,565.97,497.1,573.68,507.09
35,566.4,498.54,574.12,508.54
36,566.84,499.99,574.55,509.98
37,567.27,501.43,574.99,511.43
38,567.71,502.88,575.42,512.87
39,568.14,504.32,575.86,514.32
40,568.58,505.77,576.29,515.76
41,569.01,507.21,576.72,517.21
42,569.58,508.74,577.3,518.73
43,570.15,510.26,577.87,520.26
44,570.72,511.79,578.44,521.78
45,571.3,513.31,579.01,523.3
46,571.87,514.83,579.58,524.83
47,572.44,516.36,580.15,526.35
48,573.01,517.88,580.72,527.87
49,573.58,519.4,581.29,529.4
50,574.15,520.93,581.87,530.92
51,574.72,522.45,582.44,532.44
52,575.47,524.07,583.18,534.06
53,576.22,525.69,583.93,535.68
54,576.96,527.31,584.67,537.3
55,577.71,528.92,585.42,538.92
56,578.45,530.54,586.17,540.54
57,579.2,532.16,586.91,542.16
58,579.94,533.78,587.66,543.77
59,580.69,535.4,588.4,545.39
60,581.44,537.02,589.15,547.01
61,582.18,538.64,589.9,548.63
62,582.48,540.28,590.5,550.53
63,583.86,541.06,592.19,551.57
64,584.12,543.54,592.76,554.3
65,584.19,544.12,593.13,555.13
66,867.3,108.02,879.47,119.29
67,868.4,110.41,880.29,121.93
68,869.5,112.79,881.12,124.57
69,870.6,115.17,881.95,127.21
70,871.7,117.56,882.77,129.85
71,872.8,119.94,883.6,132.49
72,873.58,122.3,884.38,134.85
73,874.36,124.66,885.16,137.21
74,875.14,127.02,885.94,139.57
75,875.92,129.38,886.72,141.92
76,876.7,131.73,887.5,144.28
77,877.48,134.09,888.28,146.64
78,878.26,136.45,889.06,149.0
79,879.04,138.81,889.84,151.36
80,879.82,141.17,890.62,153.72
81,880.6,143.53,891.4,156.08
82,881.71,146.21,892.51,158.76
83,882.81,148.89,893.61,161.44
84,883.91,151.57,894.71,164.12
85,885.02,154.25,895.82,166.8
86,886.12,156.93,896.92,169.48
87,887.22,159.61,898.02,172.16
88,888.32,162.29,899.12,174.84
89,889.43,164.97,900.23,177.52
90,890.53,167.66,901.33,180.2
91,891.63,170.34,902.43,182.88
92,892.77,173.17,903.57,185.72
93,893.91,176.0,904.71,188.55
94,895.04,178.84,905.84,191.38
95,896.18,181.67,906.98,194.22
96,897.32,184.5,908.12,197.05
97,898.45,187.34,909.25,199.89
98,899.59,190.17,910.39,202.72
99,900.73,193.01,911.53,205.55
100,901.87,195.84,912.67,208.39
101,903.0,198.67,913.8,211.22
102,904.18,201.74,915.24,214.35
103,905.36,204.8,916.68,217.47
104,906.54,207.86,918.12,220.6
105,907.72,210.92,919.56,223.72
106,908.9,213.99,921.0,226.85
107,910.08,217.05,922.44,229.97
108,911.26,220.11,923.88,233.09
109,912.44,223.17,925.32,236.22
110,913.61,226.24,926.76,239.34
111,914.79,229.3,928.2,242.47
112,916.21,232.66,929.62,245.93
113,917.62,236.02,931.03,249.39
114,919.04,239.38,932.45,252.85
115,920.45,242.74,933.86,256.31
116,921.87,246.1,935.28,259.76
117,923.28,249.46,936.69,263.22
118,924.7,252.82,938.11,266.68
119,926.11,256.18,939.52,270.14
120,927.53,259.54,940.94,273.6
121,928.94,262.9,942.35,277.06
122,930.58,267.79,944.08,282.05
123,932.21,272.68,945.8,287.04
124,933.84,277.57,947.53,292.04
125,935.47,282.46,949.25,297.03
126,937.1,287.35,950.98,302.02
127,938.73,292.24,952.7,307.01
128,940.36,297.13,954.43,312.0
129,941.99,302.02,956.15,316.99
130,943.63,306.91,957.88,321.99
131,945.26,311.8,959.6,326.98
132,947.12,317.67,961.62,333.02
133,948.99,323.54,963.64,339.05
134,950.86,329.41,965.66,345.09
135,952.72,335.28,967.68,351.13
136,954.59,341.15,969.7,357.16
137,956.45,347.02,971.72,363.2
138,958.32,352.89,973.74,369.23
139,960.19,358.76,975.76,375.27
140,962.05,364.63,977.78,381.31
141,963.92,370.5,979.8,387.34
142,910.3,367.34,926.39,383.97
143,856.67,364.19,872.99,380.6
144,803.05,361.03,819.58,377.23
145,749.43,357.88,766.18,373.86
146,695.81,354.72,712.77,370.49
147,642.19,351.57,659.37,367.12
148,588.56,348.41,605.96,363.75
149,583.63,350.18,601.24,365.3
150,578.69,351.94,596.52,366.84
151,573.75,353.7,591.8,368.39
152,569.43,355.41,587.09,370.1
153,566.2,358.13,583.46,372.82
154,562.82,358.47,579.69,373.16
155,560.79,360.33,577.26,375.02
156,560.23,361.79,576.3,376.48
157,559.98,363.25,575.65,377.93
158,560.28,364.7,575.56,379.39
159,562.42,366.16,577.31,380.85
160,564.56,367.62,579.05,382.31
161,566.7,369.08,580.8,383.77
162,569.19,370.79,583.06,385.48
163,571.67,372.51,585.32,387.2
164,574.16,374.23,587.58,388.92
165,576.65,375.95,589.84,390.64
166,579.13,377.66,592.1,392.35
167,581.62,379.38,594.36,394.07
168,584.1,381.1,596.62,395.79
169,586.59,382.82,598.88,397.51
170,589.08,384.53,601.14,399.22
171,591.56,386.25,603.4,400.94
172,592.25,388.57,604.38,403.26
173,592.94,390.9,605.36,405.59
174,593.62,393.22,606.34,407.91
175,594.31,395.54,607.32,410.23
176,595.0,397.87,608.3,412.56
177,595.69,400.19,609.28,414.88
178,596.37,402.51,610.26,417.2
179,597.06,404.83,611.24,419.52
180,597.75,407.16,612.22,421.85
181,598.43,409.48,613.2,424.17
182,599.66,411.98,614.52,426.72
183,600.89,414.48,615.84,429.27
184,602.11,416.99,617.16,431.82
185,603.34,419.49,618.48,434.38
186,604.57,421.99,619.8,436.93
187,605.79,424.49,621.12,439.48
188,607.02,426.99,622.44,442.03
189,608.25,429.5,623.76,444.58
190,609.47,432.0,625.08,447.13
191,610.7,434.5,626.4,449.69
192,612.22,437.35,628.06,452.68
193,613.74,440.2,629.73,455.67
194,615.25,443.05,631.39,458.65
195,616.77,445.9,633.05,461.64
196,618.29,448.75,634.71,464.63
197,619.81,451.6,636.38,467.62
198,621.32,454.45,638.04,470.61
199,622.84,457.3,639.7,473.6
